source	target	note	status
敵全体に物理攻撃。命中率に補正。対象が睡眠の場合ダメージ増加。自身のHPを回復	对敌方全体造成物理攻击。命中率补正。对象处于睡眠时伤害增加。自身HP回复。	新字典	done
敵前衛に物理攻撃。命中率に補正。対象の幸運減少。	对敌方前卫造成物理攻击。命中率补正。对象幸运减少。	新字典	done
敵前衛に魔法攻撃。対象に確率で睡眠付与。	对敌方前卫造成魔法攻击。概率赋予对象睡眠。	新字典	done
敵後衛に遠隔物理攻撃。命中率に補正。自身のHPを回復	对敌方后卫造成远隔物理攻击。命中率补正。自身HP回复。	新字典	done
敵前衛に光撃（魔法）。対象に遅滞付与。補助効果を解除。	对敌方前卫造成光击（魔法）。赋予对象迟滞。解除辅助效果。	新字典	done
敵単体に魔法攻撃。味方全体の魔力増加。スキルのクールタイム減少。一番魔力が高い味方単体に鋼壁付与。	对敌方单体造成魔法攻击。我方全体魔力增加。技能的冷却时间(CT)减少。对魔力最高的我方单体赋予钢壁。	新字典	done
敵単体に魔法攻撃。味方全体の攻撃増加。スキルのクールタイム減少。自身に次元遮断付与。	对敌方单体造成魔法攻击。我方全体攻击增加。技能的冷却时间(CT)减少。赋予自身次元遮断。	新字典	done
敵単体に光撃（魔法）。対象の必殺技ゲージ減少。状態異常を2ターン延長。	对敌方单体造成光击（魔法）。对象必杀技量表减少。状态异常延长2回合。	新字典	done
敵全体に防御無視の物理攻撃。命中率に補正。自身に飛行付与。	对敌方全体造成防御无视的物理攻击。命中率补正。赋予自身飞行。	新字典	done
敵前衛に物理攻撃。命中率に補正。自身に力溜め付与。	对敌方前卫造成物理攻击。命中率补正。赋予自身蓄力。	新字典	done
敵前衛に物理攻撃。命中率に補正。自身のHP回復/ヘイト増加。	对敌方前卫造成物理攻击。命中率补正。自身HP回复/仇恨值增加。	新字典	done
敵後衛に遠隔物理攻撃。命中率に補正。対象に確率で出血付与。	对敌方后卫造成远隔物理攻击。命中率补正。概率赋予对象出血。	新字典	done
敵単体に物理攻撃。命中率と即死率に補正。自身の攻撃増加。敵前衛のバフ解除。	对敌方单体造成物理攻击。命中率和即死率补正。自身攻击增加。解除敌方前卫的Buff。	新字典	done
敵単体に物理攻撃。命中率とクリティカル率に補正。対象の攻撃減少。	对敌方单体造成物理攻击。命中率和暴击率补正。对象攻击减少。	新字典	done
敵単体に魔法攻撃。対象に確率でスタン付与。	对敌方单体造成魔法攻击。概率赋予对象眩晕。	新字典	done
敵単体に防御無視の物理攻撃。クリティカル率に補正。	对敌方单体造成防御无视的物理攻击。暴击率补正。	新字典	done
敵前衛に防御無視の物理攻撃。命中率とクリティカル率に補正。自身の攻撃増加。自身に力溜め付与。	对敌方前卫造成防御无视的物理攻击。命中率和暴击率补正。自身攻击增加。赋予自身蓄力。	新字典	done
敵単体に蒼史タイプの物理攻撃。命中率に補正。自身に力溜め付与。	对敌方单体造成苍史Type的物理攻击。命中率补正。赋予自身蓄力。	新字典	done
敵単体に黒咆タイプの物理攻撃。命中率とクリティカル率に補正。対象の攻撃減少。	对敌方单体造成黑咆Type的物理攻击。命中率和暴击率补正。对象攻击减少。	新字典	done
敵味方全員のバフ・デバフ解除。	解除敌我双方全员的Buff和Debuff。	新字典	done
敵単体に氷撃（魔法）。自身の魔力増加。	对敌方单体造成冰击（魔法）。自身魔力增加。	新字典	done
敵前衛に氷撃（魔法）。対象の魔力減少。対象の最大HPバフ解除。	对敌方前卫造成冰击（魔法）。对象魔力减少。解除对象的最大HP Buff。	新字典	done
敵単体に氷撃（魔法）。対象に確率で氷撃弱点付与。	对敌方单体造成冰击（魔法）。概率赋予对象冰击弱点。	新字典	done
敵後衛に遠隔物理攻撃。命中率に補正。敏捷が高いほど威力増加。対象の補助効果を１つ解除。罠〈トラバサミ〉と〈落とし穴〉１個設置。	对敌方后卫造成远隔物理攻击。命中率补正。敏捷越高威力增加。解除对象的1个辅助效果。设置1个陷阱〈捕兽夹〉和〈落穴〉。	新字典	done
敵単体に遠隔物理攻撃。敏捷が高いほど威力増加。罠＜トラバサミ＞1個設置。	对敌方单体造成远隔物理攻击。敏捷越高威力增加。设置1个陷阱〈捕兽夹〉。	新字典	done
敵後衛に遠隔物理攻撃。敏捷が高いほど威力増加。自身に繚乱付与。	对敌方后卫造成远隔物理攻击。敏捷越高威力增加。赋予自身缭乱。	新字典	done
敵単体に遠隔物理攻撃。敏捷が高いほど威力増加。自身に幻影付与。	对敌方单体造成远隔物理攻击。敏捷越高威力增加。赋予自身幻影。	新字典	done
敵後衛に雷撃(物理)。命中率に補正。対象に確率で弱体付与。自身に繚乱付与。	对敌方后卫造成雷击（物理）。命中率补正。概率赋予对象弱体。赋予自身缭乱。	新字典	done
敵全体に雷撃(物理)。命中率に補正。対象のバフを解除。自身の魔力増加。	对敌方全体造成雷击（物理）。命中率补正。解除对象的Buff。自身魔力增加。	新字典	done
敵全体に雷撃(魔法)。対象が感電状態の場合、威力増加。対象に確率でスタン付与。自身に次元遮断と魔壁付与。	对敌方全体造成雷击（魔法）。对象处于感电状态时威力增加。概率赋予对象眩晕。赋予自身次元遮断和魔壁。	新字典	done
敵単体に雷撃(物理)。命中率に補正。自身の攻撃増加。対象に確率で感電付与。	对敌方单体造成雷击（物理）。命中率补正。自身攻击增加。概率赋予对象感电。	新字典	done
敵前衛に雷撃(物理)。命中率に補正。対象に確率で弱体付与。	对敌方前卫造成雷击（物理）。命中率补正。概率赋予对象弱体。	新字典	done
敵後衛に雷撃(魔法)。対象のバフを解除。自身のデバフを解除。物理攻撃反射を付与。	对敌方后卫造成雷击（魔法）。解除对象的Buff。解除自身的Debuff。赋予物理攻击反射。	新字典	done
敵全体に雷撃(物理)。命中率に補正。対象が感電状態の場合、威力増加。対象に確率でスタン付与。自身に繚乱付与。自身の状態異常を解除。	对敌方全体造成雷击（物理）。命中率补正。对象处于感电状态时威力增加。概率赋予对象眩晕。赋予自身缭乱。解除自身的状态异常。	新字典	done
敵後衛に物理攻撃。命中率に補正。	对敌方后卫造成物理攻击。命中率补正。	新字典	done
敵前衛に物理攻撃。クリティカル率に補正。対象の反撃率減少。	对敌方前卫造成物理攻击。暴击率补正。对象反击率减少。	新字典	done
敵全体に遠隔物理攻撃。クリティカル率に補正。自身に力溜め付与。	对敌方全体造成远隔物理攻击。暴击率补正。赋予自身蓄力。	新字典	done
敵前衛に遠隔物理攻撃。対象に確率で魅了付与。	对敌方前卫造成远隔物理攻击。概率赋予对象魅惑。	新字典	done
敵後衛に遠隔物理攻撃。命中率とクリティカル率に補正。対象に確率で虚脱付与。	对敌方后卫造成远隔物理攻击。命中率和暴击率补正。概率赋予对象虚脱。	新字典	done
敵全体に魔法攻撃。対象の幸運減少、対象が魅了の場合、威力増加。	对敌方全体造成魔法攻击。对象幸运减少，对象处于魅惑时威力增加。	新字典	done
敵後衛に物理攻撃。命中率に補正。自身の攻撃増加。	对敌方后卫造成物理攻击。命中率补正。自身攻击增加。	新字典	done
敵前衛に物理攻撃。命中率とクリティカル率に補正。対象の反撃率減少。	对敌方前卫造成物理攻击。命中率和暴击率补正。对象反击率减少。	新字典	done
敵全体に遠隔物理攻撃。クリティカル率に補正。自身に力溜め付与。	对敌方全体造成远隔物理攻击。暴击率补正。赋予自身蓄力。	新字典	done
敵前衛に遠隔物理攻撃。対象に確率で魅了付与。	对敌方前卫造成远隔物理攻击。概率赋予对象魅惑。	新字典	done
敵後衛に遠隔物理攻撃。命中率とクリティカル率に補正。対象に虚脱付与。	对敌方后卫造成远隔物理攻击。命中率和暴击率补正。赋予对象虚脱。	新字典	done
敵全体に魔法攻撃。対象の幸運減少、対象が魅了の場合、威力増加。	对敌方全体造成魔法攻击。对象幸运减少，对象处于魅惑时威力增加。	新字典	done
敵後衛に物理攻撃。命中率に必中補正。自身の攻撃増加。	对敌方后卫造成物理攻击。命中率必中补正。自身攻击增加。	新字典	done
敵前衛に物理攻撃。命中率とクリティカル率に補正。対象の反撃率減少。	对敌方前卫造成物理攻击。命中率和暴击率补正。对象反击率减少。	新字典	done
敵全体に遠隔物理攻撃。命中率とクリティカル率に補正。自身に力溜め付与。	对敌方全体造成远隔物理攻击。命中率和暴击率补正。赋予自身蓄力。	新字典	done
敵前衛に遠隔物理攻撃。命中率に補正。対象に確定で魅了付与。	对敌方前卫造成远隔物理攻击。命中率补正。必定赋予对象魅惑。	新字典	done
敵後衛に遠隔物理攻撃。命中率とクリティカル率に補正。対象に虚脱付与。	对敌方后卫造成远隔物理攻击。命中率和暴击率补正。赋予对象虚脱。	新字典	done
敵全体に魔法攻撃。対象の幸運減少、対象が魅了の場合、威力増加。	对敌方全体造成魔法攻击。对象幸运减少，对象处于魅惑时威力增加。	新字典	done
敵前衛に遠隔物理攻撃。対象の攻撃減少。味方前衛に幻影付与。	对敌方前卫造成远隔物理攻击。对象攻击减少。对我方前卫赋予幻影。	新字典	done
敵単体に遠隔物理攻撃。対象の魔力減少、確率で毒付与。	对敌方单体造成远隔物理攻击。对象魔力减少，概率赋予毒。	新字典	done
敵単体に遠隔物理攻撃。対象に確率でスタン付与。	对敌方单体造成远隔物理攻击。概率赋予对象眩晕。	新字典	done
敵後衛単体に遠隔物理攻撃。対象の魔力減少、確率で睡眠付与。	对敌方后卫单体造成远隔物理攻击。对象魔力减少，概率赋予睡眠。	新字典	done
敵単体に物理攻撃。敏捷が高いほど威力増加。自身に飛行付与。	对敌方单体造成物理攻击。敏捷越高威力增加。赋予自身飞行。	新字典	done
敵単体に物理攻撃。命中率に補正。自身の攻撃増加。	对敌方单体造成物理攻击。命中率补正。自身攻击增加。	新字典	done
敵前衛単体に遠隔物理攻撃。命中率に補正。自身の幸運増加。	对敌方前卫单体造成远隔物理攻击。命中率补正。自身幸运增加。	新字典	done
敵単体に物理攻撃。命中率とクリティカル率に補正。	对敌方单体造成物理攻击。命中率和暴击率补正。	新字典	done
敵単体に物理攻撃。命中率と即死率に補正。自身の攻撃増加。敵前衛のバフ解除。	对敌方单体造成物理攻击。命中率和即死率补正。自身攻击增加。解除敌方前卫的Buff。	新字典	done
敵単体に物理攻撃。命中率とクリティカル率に補正。対象の攻撃減少。	对敌方单体造成物理攻击。命中率和暴击率补正。对象攻击减少。	新字典	done
敵単体に物理攻撃。命中率に補正。対象に確率でスタン付与。	对敌方单体造成物理攻击。命中率补正。概率赋予对象眩晕。	新字典	done
敵単体に防御無視の物理攻撃。クリティカル率に補正。	对敌方单体造成防御无视的物理攻击。暴击率补正。	新字典	done
敵全体に魔法攻撃。対象が呪いの場合ダメージ増加。敵全体のバフ解除。味方前衛に繚乱付与。	对敌方全体造成魔法攻击。对象处于诅咒时伤害增加。解除敌方全体的Buff。对我方前卫赋予缭乱。	新字典	done
敵前衛に魔法攻撃。対象の幸運減少。	对敌方前卫造成魔法攻击。对象幸运减少。	新字典	done
敵前衛に魔法攻撃。対象に確率で呪い付与。	对敌方前卫造成魔法攻击。概率赋予对象诅咒。	新字典	done
敵後衛に魔法攻撃。対象に確率で弱体付与。	对敌方后卫造成魔法攻击。概率赋予对象弱体。	新字典	done
敵単体に物理攻撃。命中率に補正。敏捷が高いほど威力増加。味方全体の敏捷増加、自身の回避率増加、自身に力溜め付与。	对敌方单体造成物理攻击。命中率补正。敏捷越高威力增加。我方全体敏捷增加，自身回避率增加，赋予自身蓄力。	新字典	done
敵単体に物理攻撃。命中率とクリティカル率に補正。敏捷が高いほど威力増加。自身の攻撃と敏捷増加。	对敌方单体造成物理攻击。命中率和暴击率补正。敏捷越高威力增加。自身攻击和敏捷增加。	新字典	done
敵単体に物理攻撃。敏捷が高いほど威力増加。対象に確率で出血。自身の回避率増加。	对敌方单体造成物理攻击。敏捷越高威力增加。概率赋予对象出血。自身回避率增加。	新字典	done
敵単体に物理攻撃。命中率とクリティカル率に補正。対象が出血の場合、威力増加。対象の敏捷減少。	对敌方单体造成物理攻击。命中率和暴击率补正。对象处于出血时威力增加。对象敏捷减少。	新字典	done
敵単体に物理攻撃。命中率と即死率に補正。自身のHP回復。味方全体のデバフ解除	对敌方单体造成物理攻击。命中率和即死率补正。自身HP回复。解除我方全体的Debuff。	新字典	done
敵単体に物理攻撃。即死率に補正。自身にターゲット集中付与。自身の防御減少。	对敌方单体造成物理攻击。即死率补正。赋予自身Target集中。自身防御减少。	新字典	done
敵全体に魔力無視の紅華タイプの氷撃（魔法）。敵全体のバフ解除。自身の魔力増加。	对敌方全体造成魔力无视的红华Type的冰击（魔法）。解除敌方全体的Buff。自身魔力增加。	新字典	done
敵前衛単体に紅華タイプの氷撃（魔法）。対象に確率で刻印付与。	对敌方前卫单体造成红华Type的冰击（魔法）。概率赋予对象刻印。	新字典	done
敵後衛に紅華タイプの氷撃（魔法）。対象の魔力減少。対象に確率で鈍重付与。	对敌方后卫造成红华Type的冰击（魔法）。对象魔力减少。概率赋予对象钝重。	新字典	done
敵全体に防御無視の物理攻撃。命中率に補正。敵前衛の防御減少。自身のHP回復。	对敌方全体造成防御无视的物理攻击。命中率补正。敌方前卫防御减少。自身HP回复。	新字典	done
敵前衛に物理攻撃。命中率に補正。対象の回避率減少。自身の攻撃増加。	对敌方前卫造成物理攻击。命中率补正。对象回避率减少。自身攻击增加。	新字典	done
敵前衛に物理攻撃。命中率に補正。自身に繚乱付与。敵前衛の補助効果を1つ解除。	对敌方前卫造成物理攻击。命中率补正。赋予自身缭乱。解除敌方前卫的1个辅助效果。	新字典	done
敵単体に防御無視の物理攻撃。命中率補正。対象に確率で感電付与。敵全体のバフ解除。自身の攻撃増加。	对敌方单体造成防御无视的物理攻击。命中率补正。概率赋予对象感电。解除敌方全体的Buff。自身攻击增加。	新字典	done
敵前衛に物理攻撃。対象の防御減少。	对敌方前卫造成物理攻击。对象防御减少。	新字典	done
敵前衛に物理攻撃。命中率に補正。確率で虚脱付与。	对敌方前卫造成物理攻击。命中率补正。概率赋予虚脱。	新字典	done
自身のHP回復。敵前衛に確率で感電。	自身HP回复。概率对敌方前卫赋予感电。	新字典	done
敵全体に闇撃(魔法)。自身が深淵状態の場合、威力増加。対象の魔力減少。自身に深淵付与。	对敌方全体造成暗击（魔法）。自身处于深渊状态时威力增加。对象魔力减少。赋予自身深渊。	新字典	done
敵前衛に魔力無視の光撃(魔法)。敵前衛単体にスタン付与。自身が深淵状態の場合威力が増加。自身の深淵解除。	对敌方前卫造成魔力无视的光击（魔法）。对敌方前卫单体赋予眩晕。自身处于深渊状态时威力增加。解除自身的深渊。	新字典	done
敵前衛に炎撃（魔法）。対象に確率で火傷付与。対象の補助効果を1つ解除。対象の攻撃減少。	对敌方前卫造成炎击（魔法）。概率赋予对象火伤。解除对象的1个辅助效果。对象攻击减少。	新字典	done
敵前衛に魔力無視の魔法攻撃。自身のHP回復。自身の他スキルのクールタイム減少。	对敌方前卫造成魔力无视的魔法攻击。自身HP回复。自身其他技能的冷却时间(CT)减少。	新字典	done
敵単体に反撃無効の物理攻撃。必中補正。対象の全パラメータ減少。	对敌方单体造成反击无效的物理攻击。必中补正。对象全属性参数减少。	新字典	done
敵単体に反撃無効の物理攻撃。必中補正。クリティカル率に補正。自身の攻撃増加。	对敌方单体造成反击无效的物理攻击。必中补正。暴击率补正。自身攻击增加。	新字典	done
敵単体に反撃無効の物理攻撃。命中率に補正。対象のHPが15％以下の場合、即死。	对敌方单体造成反击无效的物理攻击。命中率补正。对象HP在15%以下时即死。	新字典	done
敵単体に反撃無効の遠隔物理攻撃。必中補正。味方前衛の攻撃増加。味方後衛に魔壁付与。	对敌方单体造成反击无效的远隔物理攻击。必中补正。我方前卫攻击增加。对我方后卫赋予魔壁。	新字典	done
自身の防御<daeg_pow:2>%/ヘイト増加。自身に魔壁付与。	自身防御<daeg_pow:2>%/仇恨值增加。赋予自身魔壁。	新字典	done
味方前衛にスキル威力<dsg_pow>のHP回復、防御<daeg_pow:1>%増加。	对我方前卫造成技能威力<dsg_pow>的HP回复，防御<daeg_pow:1>%增加。	新字典	done
敵後衛単体に防御無視かつ反撃無効の遠隔物理攻撃。必中補正。クリティカル率に補正。対象の魔力バフ解除。	对敌方后卫单体造成防御无视且反击无效的远隔物理攻击。必中补正。暴击率补正。解除对象的魔力Buff。	新字典	done
敵単体に防御無視かつ反撃無効の物理攻撃。必中補正。クリティカル率に補正。対象が出血状態の場合、威力増加。自身にターゲット集中付与。	对敌方单体造成防御无视且反击无效的物理攻击。必中补正。暴击率补正。对象处于出血状态时威力增加。赋予自身Target集中。	新字典	done
敵単体に反撃無効の物理攻撃。命中率に補正。対象に確率で出血付与。	对敌方单体造成反击无效的物理攻击。命中率补正。概率赋予对象出血。	新字典	done
敵単体に反撃無効の物理攻撃。必中補正。味方前衛の攻撃増加。自身のHP回復。	对敌方单体造成反击无效的物理攻击。必中补正。我方前卫攻击增加。自身HP回复。	新字典	done
敵前衛に反撃無効の物理攻撃。命中率に補正。対象に確率で出血付与。自身に再生付与。	对敌方前卫造成反击无效的物理攻击。命中率补正。概率赋予对象出血。赋予自身再生。	新字典	done
敵前衛に防御無視かつ反撃無効の物理攻撃。必中補正。対象に猛毒付与。対象のバフ解除。	对敌方前卫造成防御无视且反击无效的物理攻击。必中补正。赋予对象猛毒。解除对象的Buff。	新字典	done
敵前衛単体に反撃無効の物理攻撃。命中率に補正。対象の敏捷を減少。自身の幸運増加。	对敌方前卫单体造成反击无效的物理攻击。命中率补正。对象敏捷减少。自身幸运增加。	新字典	done
敵後列単体に反撃無効の遠隔物理攻撃。必中補正。対象に確率でスタン付与。自身の敏捷を増加。	对敌方后列单体造成反击无效的远隔物理攻击。必中补正。概率赋予对象眩晕。自身敏捷增加。	新字典	done
敵単体に反撃無効の物理攻撃。必中補正。クリティカル率に補正。味方全体のHP回復。自身に魔壁付与、確率でターゲット集中付与。	对敌方单体造成反击无效的物理攻击。必中补正。暴击率补正。我方全体HP回复。赋予自身魔壁，概率赋予Target集中。	新字典	done
敵単体に反撃無効の物理攻撃。必中補正。自身の萌技ゲージ増加。自身にカバーリング(魔法)付与。自身のHP回復。	对敌方单体造成反击无效的物理攻击。必中补正。自身萌技量表增加。赋予自身援护(魔法)。自身HP回复。	新字典	done
敵前衛に反撃無効の物理攻撃。命中率とクリティカル率に補正。敏捷が高いほど威力増加。自身のヘイト増加、集中付与。自身のクリティカル率増加。	对敌方前卫造成反击无效的物理攻击。命中率和暴击率补正。敏捷越高威力增加。自身仇恨值增加，赋予集中。自身暴击率增加。	新字典	done
敵単体に反撃無効の氷撃（物理）。必中補正。クリティカル率に補正。対象に確率で毒付与。自身の魔力増加。自身の攻撃増加。	对敌方单体造成反击无效的冰击（物理）。必中补正。暴击率补正。概率赋予对象毒。自身魔力增加。自身攻击增加。	新字典	done
敵前衛に物理攻撃。命中率に補正。対象の幸運<daeg_pow:1>%減少。	对敌方前卫造成物理攻击。命中率补正。对象幸运<daeg_pow:1>%减少。	新字典	done
ランダムな敵単体に遠隔物理攻撃。命中率に補正。自身に再生付与。	对随机敌方单体造成远隔物理攻击。命中率补正。赋予自身再生。	新字典	done
敵前衛に物理攻撃。命中率に補正。対象のバフ解除。	对敌方前卫造成物理攻击。命中率补正。解除对象的Buff。	新字典	done
敵前衛に物理攻撃。命中率に補正。敏捷が高いほど威力増加。対象に確率で弱体付与。	对敌方前卫造成物理攻击。命中率补正。敏捷越高威力增加。概率赋予对象弱体。	新字典	done
敵前衛に反撃無効の氷撃（魔法）。自身の魔力増加。自身に次元遮断付与。	对敌方前卫造成反击无效的冰击（魔法）。自身魔力增加。赋予自身次元遮断。	新字典	done
敵後衛に魔法攻撃。自身の敏捷<daeg_pow:1>%増加。対象に確率で弱体付与。	对敌方后卫造成魔法攻击。自身敏捷<daeg_pow:1>%增加。概率赋予对象弱体。	新字典	done
敵全体に反撃無効の氷撃（魔法）。対象の必殺技ゲージ1つ減少。対象に確率で刻印付与。	对敌方全体造成反击无效的冰击（魔法）。对象必杀技量表减少1个。概率赋予对象刻印。	新字典	done
敵全体に氷撃（魔法）。対象のすべてのバフと補助効果を解除。自身のデバフを解除。自身に繚乱付与。	对敌方全体造成冰击（魔法）。解除对象的所有Buff和辅助效果。解除自身的Debuff。赋予自身缭乱。	新字典	done
敵単体に反撃無効の氷撃（魔法）。自身の魔力増加。自身に再生付与。	对敌方单体造成反击无效的冰击（魔法）。自身魔力增加。赋予自身再生。	新字典	done
敵前衛に魔法攻撃。自身の敏捷<daeg_pow:1>%増加。自身に幻影付与。	对敌方前卫造成魔法攻击。自身敏捷<daeg_pow:1>%增加。赋予自身幻影。	新字典	done
敵全体に反撃無効の氷撃（魔法）。対象に確率で刻印付与。自身に加速付与。	对敌方全体造成反击无效的冰击（魔法）。概率赋予对象刻印。赋予自身加速。	新字典	done
敵全体に氷撃（魔法）。対象のすべてのバフを解除。対象に確率で虚脱付与。自身に繚乱付与。	对敌方全体造成冰击（魔法）。解除对象的所有Buff。概率赋予对象虚脱。赋予自身缭乱。	新字典	done
敵前衛に反撃無効の物理攻撃。命中率に補正。防御が高いほど威力増加。対象の攻撃減少。	对敌方前卫造成反击无效的物理攻击。命中率补正。防御越高威力增加。对象攻击减少。	新字典	done
敵後衛に反撃無効の氷撃（魔法）。対象の幸運減少。	对敌方后卫造成反击无效的冰击（魔法）。对象幸运减少。	新字典	done
敵全体に反撃無効の物理攻撃。自身の防御増加。	对敌方全体造成反击无效的物理攻击。自身防御增加。	新字典	done
敵前衛に反撃無効の物理攻撃。命中率に補正。防御が高いほど威力増加。対象に確率で氷撃弱点付与。	对敌方前卫造成反击无效的物理攻击。命中率补正。防御越高威力增加。概率赋予对象冰击弱点。	新字典	done
敵後衛に反撃無効の物理攻撃。命中率に補正。自身に繚乱付与。	对敌方后卫造成反击无效的物理攻击。命中率补正。赋予自身缭乱。	新字典	done
敵全体に反撃無効の氷撃（魔法）。対象に確率で忘却付与。	对敌方全体造成反击无效的冰击（魔法）。概率赋予对象忘却。	新字典	done
敵前衛に反撃無効の物理攻撃。命中率に補正。防御が高いほど威力増加。対象の攻撃減少。	对敌方前卫造成反击无效的物理攻击。命中率补正。防御越高威力增加。对象攻击减少。	新字典	done
敵後衛に反撃無効の氷撃（魔法）。対象の幸運減少。	对敌方后卫造成反击无效的冰击（魔法）。对象幸运减少。	新字典	done
敵全体に反撃無効の物理攻撃。命中率とクリティカル率に補正。自身の防御増加。	对敌方全体造成反击无效的物理攻击。命中率和暴击率补正。自身防御增加。	新字典	done
敵前衛に反撃無効の物理攻撃。命中率に補正。防御が高いほど威力増加。対象に確率で氷撃弱点付与。	对敌方前卫造成反击无效的物理攻击。命中率补正。防御越高威力增加。概率赋予对象冰击弱点。	新字典	done
敵後衛に反撃無効の物理攻撃。命中率に補正。自身に繚乱付与。	对敌方后卫造成反击无效的物理攻击。命中率补正。赋予自身缭乱。	新字典	done
敵全体に魔力無視かつ反撃無効の氷撃（魔法）。対象に確率で忘却付与。	对敌方全体造成魔力无视且反击无效的冰击（魔法）。概率赋予对象忘却。	新字典	done
敵前衛に反撃無効の物理攻撃。命中率に補正。防御が高いほど威力増加。対象の攻撃減少。	对敌方前卫造成反击无效的物理攻击。命中率补正。防御越高威力增加。对象攻击减少。	新字典	done
敵後衛に反撃無効の氷撃（魔法）。対象の魔力と幸運減少。	对敌方后卫造成反击无效的冰击（魔法）。对象魔力和幸运减少。	新字典	done
敵全体に反撃無効の物理攻撃。命中率とクリティカル率に補正。自身の防御増加。	对敌方全体造成反击无效的物理攻击。命中率和暴击率补正。自身防御增加。	新字典	done
敵前衛に反撃無効の物理攻撃。命中率に補正。防御が高いほど威力増加。対象に確定で氷撃弱点付与。	对敌方前卫造成反击无效的物理攻击。命中率补正。防御越高威力增加。必定赋予对象冰击弱点。	新字典	done
敵後衛に反撃無効の物理攻撃。命中率に補正。自身に百花繚乱付与。	对敌方后卫造成反击无效的物理攻击。命中率补正。赋予自身百花缭乱。	新字典	done
敵全体に魔力無視かつ反撃無効の氷撃（魔法）。対象に確率で忘却と氷結付与。	对敌方全体造成魔力无视且反击无效的冰击（魔法）。概率赋予对象忘却和冰洁。	新字典	done
敵全体に氷撃（魔法）。	对敌方全体造成冰击（魔法）。	新字典	done
敵前衛に防御無視の物理攻撃。命中率に必中補正。対象の敏捷と幸運減少。自身に深淵付与。	对敌方前卫造成防御无视的物理攻击。命中率必中补正。对象敏捷和幸运减少。赋予自身深渊。	新字典	done
敵全体に魔法攻撃。対象に確率で呪い付与。自身に幻影付与。	对敌方全体造成魔法攻击。概率赋予对象诅咒。赋予自身幻影。	新字典	done
敵前衛に魔法攻撃。自身が深淵状態の場合、威力増加。深淵状態を解除。対象に確率で弱体付与。	对敌方前卫造成魔法攻击。自身处于深渊状态时威力增加。解除深渊状态。概率赋予对象弱体。	新字典	done
敵前衛に防御無視のスキル威力<dsg_pow>の物理攻撃。命中率に補正。対象の補助効果を<daeg_pow:1>つ解除。	对敌方前卫造成防御无视的技能威力<dsg_pow>的物理攻击。命中率补正。解除对象的<daeg_pow:1>个辅助效果。	新字典	done
敵後衛にスキル威力<dsg_pow>の魔法攻撃。自身のクリティカル率<daeg_pow:1>%増加/力溜め付与。	对敌方后卫造成技能威力<dsg_pow>的魔法攻击。自身暴击率<daeg_pow:1>%增加/赋予蓄力。	新字典	done
敵全体にスキル威力<dsg_pow>の魔法攻撃。対象の敏捷<daeg_pow:1>%/幸運<daeg_pow:2>%減少。対象に確率で鈍重付与。	对敌方全体造成技能威力<dsg_pow>的魔法攻击。对象敏捷<daeg_pow:1>%/幸运<daeg_pow:2>%减少。概率赋予对象钝重。	新字典	done
敵前衛に魔法攻撃。対象に確率で睡眠付与。	对敌方前卫造成魔法攻击。概率赋予对象睡眠。	新字典	done
敵後衛に遠隔物理攻撃。自身に力溜め付与。	对敌方后卫造成远隔物理攻击。赋予自身蓄力。	新字典	done
敵単体に物理攻撃。命中率とクリティカル率に補正。自身の攻撃増加。	对敌方单体造成物理攻击。命中率和暴击率补正。自身攻击增加。	新字典	done
敵単体に防御無視の遠隔物理攻撃。命中率に補正。自身に繚乱付与。	对敌方单体造成防御无视的远隔物理攻击。命中率补正。赋予自身缭乱。	新字典	done
敵全体に魔法攻撃。対象に確率で刻印付与。自身にカウンター付与。	对敌方全体造成魔法攻击。概率赋予对象刻印。赋予自身Counter。	新字典	done
敵前衛に魔法攻撃。対象の幸運減少。	对敌方前卫造成魔法攻击。对象幸运减少。	新字典	done
敵前衛に魔法攻撃。対象に確率で睡眠付与。	对敌方前卫造成魔法攻击。概率赋予对象睡眠。	新字典	done
敵後衛に遠隔物理攻撃。自身に力溜め付与。	对敌方后卫造成远隔物理攻击。赋予自身蓄力。	新字典	done
敵単体に物理攻撃。命中率に必中補正、クリティカル率に補正。自身の攻撃増加。	对敌方单体造成物理攻击。命中率必中补正、暴击率补正。自身攻击增加。	新字典	done
敵単体に防御無視の遠隔物理攻撃。命中率に必中補正。自身に繚乱付与。	对敌方单体造成防御无视的远隔物理攻击。命中率必中补正。赋予自身缭乱。	新字典	done
敵全体に魔法攻撃。対象に確率で刻印付与。自身にカウンター付与。	对敌方全体造成魔法攻击。概率赋予对象刻印。赋予自身Counter。	新字典	done
敵前衛に魔法攻撃。対象の幸運減少。	对敌方前卫造成魔法攻击。对象幸运减少。	新字典	done
敵全体に防御無視の物理攻撃。命中率に必中補正。対象のバフを解除。自身に飛行付与。	对敌方全体造成防御无视的物理攻击。命中率必中补正。解除对象的Buff。赋予自身飞行。	新字典	done
敵後衛に遠隔物理攻撃。命中率に必中補正。対象の補助効果を1つ解除。	对敌方后卫造成远隔物理攻击。命中率必中补正。解除对象的1个辅助效果。	新字典	done
敵前衛に雷撃（魔法）。対象のバフをすべて解除。	对敌方前卫造成雷击（魔法）。解除对象的所有Buff。	新字典	done
